File Name,PDF Source,Page,Quality,Unique Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Status
Set 1 Page 2 (80 OMR)_page72,Set 1 Page 2 (80 OMR).pdf,72,Good,200143,,5.0,5.0,4,5.0,3,4,3.0,2,1.0,1,1,1,5.0,Success
Set 1 Page 2 (80 OMR)_page73,Set 1 Page 2 (80 OMR).pdf,73,Good,200144,1.0,5.0,3.0,5,4.0,4,3,5.0,3,5.0,3,5,5,4.0,Success
Set 1 Page 2 (80 OMR)_page74,Set 1 Page 2 (80 OMR).pdf,74,Good,200145,3.0,3.0,3.0,5,5.0,4,3,4.0,3,4.0,3,5,3,3.0,Success
Set 1 Page 2 (80 OMR)_page75,Set 1 Page 2 (80 OMR).pdf,75,Good,200146,3.0,2.0,3.0,4,,4,4,2.0,4,4.0,2,4,2,5.0,Success
Set 1 Page 2 (80 OMR)_page76,Set 1 Page 2 (80 OMR).pdf,76,Good,200147,5.0,5.0,4.0,5,4.0,4,3,4.0,3,3.0,4,5,4,5.0,Success
Set 1 Page 2 (80 OMR)_page77,Set 1 Page 2 (80 OMR).pdf,77,Good,200148,5.0,5.0,5.0,5,4.0,5,4,,2,1.0,2,5,5,,Success
Set 1 Page 2 (80 OMR)_page78,Set 1 Page 2 (80 OMR).pdf,78,Good,200149,4.0,4.0,3.0,3,4.0,5,3,2.0,4,3.0,2,1,2,4.0,Success
Set 1 Page 2 (80 OMR)_page79,Set 1 Page 2 (80 OMR).pdf,79,Good,200150,,5.0,5.0,3,3.0,3,4,3.0,5,3.0,2,3,5,5.0,Success
Set 3 Page 2 (50 OMR)_page1,Set 3 Page 2 (50 OMR).pdf,1,Good,200151,5.0,2.0,1.0,3,1.0,5,1,5.0,1,3.0,2,1,5,3.0,Success
Set 3 Page 2 (50 OMR)_page2,Set 3 Page 2 (50 OMR).pdf,2,Good,200152,5.0,5.0,5.0,4,,5,4,,5,1.0,2,3,5,,Success
Set 3 Page 2 (50 OMR)_page3,Set 3 Page 2 (50 OMR).pdf,3,Good,200153,5.0,4.0,5.0,4,5.0,5,4,5.0,5,4.0,5,4,3,,Success
Set 3 Page 2 (50 OMR)_page4,Set 3 Page 2 (50 OMR).pdf,4,Good,200154,2.0,5.0,3.0,5,5.0,4,3,5.0,4,3.0,3,4,1,,Success
Set 3 Page 2 (50 OMR)_page5,Set 3 Page 2 (50 OMR).pdf,5,Good,200155,5.0,5.0,3.0,4,5.0,4,3,5.0,2,2.0,4,4,3,1.0,Success
Set 3 Page 2 (50 OMR)_page6,Set 3 Page 2 (50 OMR).pdf,6,Good,200156,3.0,4.0,5.0,4,4.0,4,3,4.0,4,4.0,4,5,5,5.0,Success
Set 3 Page 2 (50 OMR)_page7,Set 3 Page 2 (50 OMR).pdf,7,Good,200157,3.0,5.0,5.0,2,3.0,4,4,5.0,5,3.0,2,4,5,5.0,Success
Set 3 Page 2 (50 OMR)_page8,Set 3 Page 2 (50 OMR).pdf,8,Good,200158,1.0,5.0,5.0,5,5.0,3,5,5.0,1,5.0,5,5,5,,Success
Set 3 Page 2 (50 OMR)_page9,Set 3 Page 2 (50 OMR).pdf,9,Good,200159,5.0,5.0,4.0,4,3.0,5,4,2.0,3,1.0,5,3,2,5.0,Success
Set 3 Page 2 (50 OMR)_page10,Set 3 Page 2 (50 OMR).pdf,10,Good,200160,5.0,3.0,4.0,4,4.0,5,4,4.0,5,1.0,3,3,3,5.0,Success
Set 3 Page 2 (50 OMR)_page11,Set 3 Page 2 (50 OMR).pdf,11,Good,200161,3.0,3.0,5.0,4,2.0,5,4,1.0,5,2.0,4,1,5,,Success
Set 3 Page 2 (50 OMR)_page12,Set 3 Page 2 (50 OMR).pdf,12,Good,200162,5.0,3.0,2.0,4,5.0,5,2,4.0,3,5.0,5,3,5,4.0,Success
Set 3 Page 2 (50 OMR)_page13,Set 3 Page 2 (50 OMR).pdf,13,Good,200163,4.0,3.0,3.0,5,5.0,3,2,5.0,3,4.0,4,5,2,2.0,Success
Set 3 Page 2 (50 OMR)_page14,Set 3 Page 2 (50 OMR).pdf,14,Good,200164,2.0,4.0,3.0,3,4.0,3,4,3.0,3,5.0,3,4,2,3.0,Success
Set 3 Page 2 (50 OMR)_page15,Set 3 Page 2 (50 OMR).pdf,15,Good,200165,3.0,2.0,3.0,4,5.0,5,2,5.0,4,5.0,4,4,2,,Success
